# experiment=prueba1
# started_at=2026-03-06T15:46:13
# port=COM5
# baud=115200
t_ms,temp_C
290472,175.50
290972,175.50
291472,176.25
291972,175.75
292472,175.75
292972,176.50
293472,176.25
293972,176.75
294472,176.50
294972,177.00
295472,176.50
295972,177.25
296472,177.25
296972,177.25
297472,177.25
297972,177.50
298472,177.75
298972,178.00
299472,178.00
299972,178.25
300472,178.50
300972,178.75
301472,178.75
301972,178.50
302472,179.00
302972,179.00
303472,179.50
303972,179.75
304472,180.00
304972,179.75
305472,180.50
305972,180.00
306472,180.50
306972,180.25
307472,181.00
307972,181.50
308472,181.00
308972,181.75
309472,181.50
309972,181.25
310472,181.75
310972,182.50
311472,182.50
311972,182.25
312472,183.00
312972,182.50
313472,182.75
313972,183.25
314472,183.75
314972,184.00
315472,184.25
315972,184.25
316472,184.75
316972,184.75
317472,185.25
317972,185.50
318472,185.50
318972,186.00
319472,185.75
319972,185.50
320472,186.00
320972,187.00
321472,186.50
321972,187.00
322472,187.25
322972,187.50
323472,187.50
323972,188.00
324472,188.00
324972,188.50
325472,189.00
325972,188.75
326472,189.00
326972,189.25
327472,189.50
327972,189.50
328472,190.25
328972,189.50
329472,190.25
329972,190.50
330472,190.75
330972,191.00
331472,191.00
331972,191.50
332472,192.25
332972,192.25
333472,192.25
333972,192.75
334472,193.25
334972,193.00
335472,193.00
335972,193.75
336472,194.25
336972,194.00
337472,194.50
337972,194.50
338472,195.00
338972,195.00
339472,195.25
339972,195.50
340472,195.75
340972,196.25
341472,196.25
341972,196.00
342472,197.25
342972,197.25
343472,197.75
343972,197.50
344472,198.25
344972,198.25
345472,198.75
345972,199.00
346472,199.00
346972,199.00
347472,199.75
347972,199.75
348472,199.25
348972,200.50
349472,200.75
349972,201.00
350472,201.25
350972,201.50
351472,202.00
351972,202.00
352472,202.00
352972,202.25
353472,202.25
353972,203.00
354472,203.50
354972,203.75
355472,203.75
355972,204.25
356472,204.50
356972,204.50
357472,204.75
357972,205.00
358472,205.50
358972,205.25
359472,205.75
359972,205.75
360472,206.25
360972,206.50
361472,206.75
361972,206.75
362472,207.00
362972,207.25
363472,207.25
363972,207.75
364472,208.00
364972,208.25
365472,208.25
365972,208.25
366472,208.75
366972,208.75
367472,209.00
367972,209.50
368472,209.25
368972,209.50
369472,210.25
369972,209.75
370472,210.00
370972,210.25
371472,210.50
371972,210.50
372472,210.50
372972,211.00
373472,211.00
373972,210.75
374472,211.00
374972,211.25
375472,211.25
375972,211.75
376472,212.00
376972,211.25
377472,212.25
377972,211.75
378472,211.50
378972,212.25
379472,212.00
379972,212.25
380472,212.25
380972,212.25
381472,212.50
381972,212.00
382472,212.50
382972,212.50
383472,212.25
383972,212.50
384472,212.75
384972,212.25
385472,212.25
385972,212.25
386472,212.50
386972,212.75
387472,213.00
387972,212.75
388472,212.50
388972,213.00
389472,213.00
389972,213.00
390472,212.50
390972,213.00
391472,212.50
# finished_at=2026-03-06T15:52:19
